f1,f2,f3,f4,f5,f6,f7,f8,timestamp,x,y
218,283,556,503,1668,2546,2114,1606,2025-09-17T19:24:19.518643,0,0
225,301,579,546,1747,2684,2267,1686,2025-09-17T19:25:20.206921,0,0
225,302,581,552,1753,2693,2273,1687,2025-09-17T19:26:20.925579,0,0
226,303,582,553,1757,2697,2277,1689,2025-09-17T19:27:21.647083,0,0
225,302,581,552,1755,2695,2275,1689,2025-09-17T19:28:22.357382,0,0
225,303,582,553,1757,2697,2279,1689,2025-09-17T19:29:23.055777,0,0
225,302,580,551,1752,2690,2275,1687,2025-09-17T19:30:23.783294,0,0
225,302,581,553,1757,2698,2283,1692,2025-09-17T19:31:24.502861,0,0
225,303,582,552,1759,2698,2283,1691,2025-09-17T19:32:25.211498,0,0
225,302,582,553,1758,2698,2286,1691,2025-09-17T19:33:25.916895,0,0
225,302,581,551,1753,2690,2285,1686,2025-09-17T19:34:26.617212,0,0
225,302,582,552,1755,2692,2292,1687,2025-09-17T19:35:27.339210,0,0
226,303,582,552,1757,2695,2300,1690,2025-09-17T19:36:28.019669,0,0
225,302,581,552,1760,2698,2308,1692,2025-09-17T19:37:28.705447,0,0
225,303,582,553,1762,2700,2309,1693,2025-09-17T19:38:29.406937,0,0
225,302,581,551,1757,2694,2307,1689,2025-09-17T19:39:30.138555,0,0
225,302,580,550,1754,2690,2302,1687,2025-09-17T19:40:30.855541,0,0
225,302,581,552,1761,2699,2316,1691,2025-09-17T19:41:31.570369,0,0
225,302,581,551,1756,2691,2312,1687,2025-09-17T19:42:32.276651,0,0
225,302,581,552,1761,2699,2322,1691,2025-09-17T19:43:32.968277,0,0
225,302,581,551,1761,2697,2322,1692,2025-09-17T19:44:33.692879,0,0
225,302,582,552,1761,2697,2321,1691,2025-09-17T19:45:34.413353,0,0
225,302,582,552,1761,2694,2322,1691,2025-09-17T19:46:35.123447,0,0
225,303,582,553,1758,2693,2322,1689,2025-09-17T19:47:35.829496,0,0
225,302,581,551,1759,2693,2325,1689,2025-09-17T19:48:36.556467,0,0
225,302,582,552,1764,2700,2331,1693,2025-09-17T19:49:37.280161,0,0
224,302,580,550,1758,2692,2327,1687,2025-09-17T19:50:37.994583,0,0
225,302,581,552,1762,2697,2329,1692,2025-09-17T19:51:38.702602,0,0
224,302,581,551,1756,2690,2322,1686,2025-09-17T19:52:39.436098,0,0
224,301,579,549,1755,2687,2321,1686,2025-09-17T19:53:40.161918,0,0
225,301,580,551,1757,2690,2326,1688,2025-09-17T19:54:40.881335,0,0
225,300,578,549,1755,2694,2326,1689,2025-09-17T19:55:41.594972,0,0
224,299,577,548,1754,2691,2324,1688,2025-09-17T19:56:42.302716,0,0
225,300,579,550,1756,2696,2327,1690,2025-09-17T19:57:43.006612,0,0
225,300,579,550,1758,2697,2331,1691,2025-09-17T19:58:43.729938,0,0
225,300,579,549,1758,2697,2330,1691,2025-09-17T19:59:44.444133,0,0
225,300,577,549,1752,2691,2326,1686,2025-09-17T20:00:45.149109,0,0
225,301,578,549,1756,2696,2330,1690,2025-09-17T20:01:45.879234,0,0
224,300,579,548,1755,2689,2326,1688,2025-09-17T20:02:46.590377,0,0
224,299,577,547,1750,2687,2323,1685,2025-09-17T20:03:47.310700,0,0
225,300,578,549,1755,2692,2330,1689,2025-09-17T20:04:48.023051,0,0
224,300,578,549,1754,2694,2331,1689,2025-09-17T20:05:48.732608,0,0
225,300,579,550,1755,2693,2332,1689,2025-09-17T20:06:49.454676,0,0
225,300,578,549,1756,2695,2334,1689,2025-09-17T20:07:50.180231,0,0
224,299,577,548,1754,2689,2327,1686,2025-09-17T20:08:50.898740,0,0
224,299,577,547,1751,2686,2325,1684,2025-09-17T20:09:51.608455,0,0
224,300,578,548,1752,2687,2324,1685,2025-09-17T20:10:52.344451,0,0
224,299,577,547,1751,2687,2327,1685,2025-09-17T20:11:53.072791,0,0
224,300,578,548,1754,2690,2325,1689,2025-09-17T20:12:53.792491,0,0
222,296,571,536,1726,2643,2275,1657,2025-09-17T20:13:54.506057,0,0
