10:7B:EF:01:C2:36,B4:F2:67:58:12:78,58:D5:6E:C4:51:9A,B4:F2:67:58:11:78,50:88:11:C6:27:F1,50:88:11:C6:27:F2,5C:F4:AB:A3:4E:23,C0:A0:BB:7E:DC:91,4E:22:F3:6E:82:F9,56:88:11:C6:27:F1,timestamp,x,y,18:31:BF:58:C2:E8,74:90:BC:9E:6B:3E,18:31:BF:58:C2:EC,4C:22:F3:7E:82:F9,5A:88:11:C6:27:F2,76:90:BC:7E:6B:3E,34:B3:54:85:80:74,F8:1D:0F:E2:39:38,40:9B:CD:9E:AF:FC,76:90:BC:5E:6B:3E,1C:56:8E:35:20:A3,76:90:BC:2E:6B:3E,10:71:B3:BC:CA:41,BC:99:11:24:6C:C2,4C:3F:A7:25:7C:C8,4C:22:F3:7E:82:FA,4E:22:F3:6E:82:FA,1E:21:B4:DB:9F:9A
-43,-53,-49,-70,-55,-66,-55,-64,-69,-55,2025-09-17T19:24:19.538230,0,0,,,,,,,,,,,,,,,,,,
-42,-48,-47,-63,-53,-68,-54,-62,-69,-53,2025-09-17T19:25:20.227433,0,0,-67.0,-66.0,-78.0,,,,,,,,,,,,,,,
-41,-48,-49,-65,-59,-68,-55,-65,-69,-53,2025-09-17T19:26:20.943190,0,0,-63.0,-68.0,-78.0,-68.0,-68.0,-83.0,-74.0,-74.0,,,,,,,,,,
-42,-48,-48,-63,-57,-64,-54,-65,-69,-53,2025-09-17T19:27:21.663732,0,0,-63.0,-68.0,-78.0,-70.0,-68.0,-84.0,-73.0,-74.0,-76.0,-84.0,,,,,,,,
-40,-42,-49,-64,-58,-63,-54,-62,-69,-57,2025-09-17T19:28:22.373296,0,0,-58.0,-67.0,-80.0,-70.0,-68.0,-84.0,-73.0,-74.0,-75.0,-84.0,-73.0,,,,,,,
-41,-43,-47,-64,-58,-63,-55,-64,-69,-60,2025-09-17T19:29:23.071629,0,0,-58.0,-67.0,-80.0,-61.0,-63.0,-84.0,-73.0,-74.0,-75.0,-83.0,-75.0,,,,,,,
-42,-44,-48,-64,-58,-63,-54,-64,-69,-60,2025-09-17T19:30:23.799460,0,0,-64.0,-67.0,-80.0,-61.0,-64.0,-84.0,-73.0,-74.0,-75.0,-83.0,-75.0,-67.0,,,,,,
-42,-48,-47,-64,-58,-63,-60,-65,-69,-60,2025-09-17T19:31:24.518823,0,0,-63.0,-67.0,-80.0,-71.0,-63.0,-83.0,-73.0,-74.0,-75.0,-83.0,-75.0,-67.0,,,,,,
-42,-48,-49,-64,-51,-63,-54,-65,-69,-57,2025-09-17T19:32:25.227524,0,0,-64.0,-67.0,-80.0,-71.0,-63.0,-84.0,-73.0,-74.0,-75.0,-84.0,-75.0,-67.0,,,,,,
-56,-48,-49,-63,-60,-63,-56,-64,-69,-60,2025-09-17T19:33:25.932662,0,0,-64.0,-67.0,-80.0,-72.0,-63.0,-84.0,-74.0,-74.0,-75.0,-84.0,-75.0,-67.0,,,,,,
